Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
SR1-N	12	Orange		12.39	12.401	2.695	1221176	REEF POINT DR	1	Mainline		No	lue	
SR1-N	12	Orange		12.78	12.791	.485	1221170	CRYSTAL HEIGHTS	1	Mainline		No	2553	
SR1-N	12	Orange		13.36	13.371	1.825	1221163	1 NB LOS TRANCOS	1	Mainline		No	2552	
SR1-N	12	Orange	Newport Beach	16.43	16.441	1.825	1221148	1 NB AVOCADO AVE	1	Mainline		No	2551	
SR1-N	12	Orange	Newport Beach	17.01	17.021	.595	1221143	1 NB IRVINE TERRACE	1	Mainline		No	2550	
SR1-N	12	Orange	Newport Beach	17.62	17.631	.53	1221193	1 NB PROMONTORY PT	1	Mainline		No	2549	
SR1-N	12	Orange	Newport Beach	18.07	18.081	.61	1221136	1 NB BAYSIDE DRIVE	1	Mainline		No	2548	
SR1-N	12	Orange	Newport Beach	18.83	18.851	.725	1221131	1 NB BALBOA BAY	1	Mainline		No	2547	
SR1-N	12	Orange	Newport Beach	19.51	19.531	2.84	1221275	1 NB RIVERSIDE DR	1	Mainline		No	2546	
SR1-N	5	Monterey		62.947	313.451	2.567	500011261	SOUTH OF GARRAPATA CREEK BRIDGE	1	Mainline		No	1	
SR1-N	5	Monterey		63.08	313.584	2.566	500011251	NORTH OF GARRAPATA CREEK BRIDGE	1	Mainline		No	1	
SR1-N	5	Monterey		72.331	322.866	2.713	500010011	CARMEL RIV BRIDGE MLNB	1	Mainline		No	1	
SR1-N	5	Monterey		72.757	323.292	.697	500010021	CARMEL VALLEY RD HWY 1 NB VDS ML	2	Mainline		No	1	
SR1-N	5	Monterey		73.726	324.261	.831	500010031	OCEAN AVE HWY 1 NB VDS MLNB NB	2	Mainline		No	1	
SR1-N	5	Monterey		74.419	324.954	.62	500010041	CARPENTER RD HWY 1 NB VDS MLNB N	2	Mainline		No	1	
SR1-N	5	Monterey		74.968	325.503	.567	500010051	HWY 68 WEST AT HWY 1 NB VDS MLNB	2	Mainline		No	1	
SR1-N	5	Monterey	Monterey	R75.553	326.088		500010061	MUNRAS RD HWY 1 NB VDS OFNB NB	1	Off Ramp		No	1	
SR1-N	5	Monterey	Monterey	R75.554	326.089	.622	500010062	MUNRAS RD HWY 1 NB VDS MLNB NB	2	Mainline		No	1	
SR1-N	5	Monterey	Monterey	R76.211	326.746	.695	500010073	MUNRAS RD HWY 1 SB VDS MLNB NB	2	Mainline		No	1	
SR1-N	5	Monterey	Monterey	R76.212	326.747		500010074	MUNRAS RD HWY 1 SB VDS ONNB NB	1	On Ramp		No	1	
SR1-N	5	Monterey	Monterey	R76.945	327.48	.711	500010081	SOUTH OF AQUAJITO RD HWY 1 NB VD	2	Mainline		No	1	
