Fwy,District,County,City,CA PM,Abs PM,Length,ID,Name,Lanes,Type,Sensor Type,HOV,MS ID,IRM,Latitude,Longitude,Dir,State_PM,Abs_PM,User_ID_1,_file_date,_source_file
SR1-N,12,Orange,,12.39,12.401,2.695,1221176,REEF POINT DR,1.0,Mainline,,No,lue,,33.565462,-117.828018,N,12.39,12.401,lue,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-N,12,Orange,,12.78,12.791,0.485,1221170,CRYSTAL HEIGHTS,1.0,Mainline,,No,2553,,33.568992,-117.833412,N,12.78,12.791,2553,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-N,12,Orange,,13.36,13.371,1.825,1221163,1 NB LOS TRANCOS,1.0,Mainline,,No,2552,,33.575502,-117.839807,N,13.36,13.371,2552,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-N,12,Orange,Newport Beach,16.43,16.441,1.825,1221148,1 NB AVOCADO AVE,1.0,Mainline,,No,2551,,33.605811,-117.875914,N,16.43,16.441,2551,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-N,12,Orange,Newport Beach,17.01,17.021,0.595,1221143,1 NB IRVINE TERRACE,1.0,Mainline,,No,2550,,33.611026,-117.883525,N,17.01,17.021,2550,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-N,12,Orange,Newport Beach,17.62,17.631,0.53,1221193,1 NB PROMONTORY PT,1.0,Mainline,,No,2549,,33.613432,-117.893777,N,17.62,17.631,2549,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-N,12,Orange,Newport Beach,18.07,18.081,0.61,1221136,1 NB BAYSIDE DRIVE,1.0,Mainline,,No,2548,,33.61624,-117.900661,N,18.07,18.081,2548,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-N,12,Orange,Newport Beach,18.83,18.851,0.725,1221131,1 NB BALBOA BAY,1.0,Mainline,,No,2547,,33.616119,-117.913843,N,18.83,18.851,2547,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-N,12,Orange,Newport Beach,19.51,19.531,2.84,1221275,1 NB RIVERSIDE DR,1.0,Mainline,,No,2546,,33.620457,-117.924387,N,19.51,19.531,2546,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-N,5,Monterey,,62.947,313.451,2.567,500011261,SOUTH OF GARRAPATA CREEK BRIDGE,1.0,Mainline,,No,1,,36.416907,-121.913966,N,62.947,313.451,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,63.08,313.584,2.566,500011251,NORTH OF GARRAPATA CREEK BRIDGE,1.0,Mainline,,No,1,,36.418735,-121.913304,N,63.08,313.584,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,72.331,322.866,2.713,500010011,CARMEL RIV BRIDGE MLNB,1.0,Mainline,,No,1,,36.535861,-121.912869,N,72.331,322.866,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,72.757,323.292,0.697,500010021,CARMEL VALLEY RD HWY 1 NB VDS ML,2.0,Mainline,,No,1,,36.541075,-121.908778,N,72.757,323.292,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,73.726,324.261,0.831,500010031,OCEAN AVE HWY 1 NB VDS MLNB NB,2.0,Mainline,,No,1,,36.554647,-121.910926,N,73.726,324.261,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,74.419,324.954,0.62,500010041,CARPENTER RD HWY 1 NB VDS MLNB N,2.0,Mainline,,No,1,,36.56444,-121.911973,N,74.419,324.954,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,74.968,325.503,0.567,500010051,HWY 68 WEST AT HWY 1 NB VDS MLNB,2.0,Mainline,,No,1,,36.572329,-121.91279,N,74.968,325.503,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Monterey,R75.553,326.088,,500010061,MUNRAS RD HWY 1 NB VDS OFNB NB,1.0,Off Ramp,,No,1,,36.578638,-121.906469,N,R75.553,326.088,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Monterey,R75.554,326.089,0.622,500010062,MUNRAS RD HWY 1 NB VDS MLNB NB,2.0,Mainline,,No,1,,36.578647,-121.906454,N,R75.554,326.089,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Monterey,R76.211,326.746,0.695,500010073,MUNRAS RD HWY 1 SB VDS MLNB NB,2.0,Mainline,,No,1,,36.58253,-121.895893,N,R76.211,326.746,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Monterey,R76.212,326.747,,500010074,MUNRAS RD HWY 1 SB VDS ONNB NB,1.0,On Ramp,,No,1,,36.582533,-121.895876,N,R76.212,326.747,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,Monterey,R76.945,327.48,0.711,500010081,SOUTH OF AQUAJITO RD HWY 1 NB VD,2.0,Mainline,,No,1,,36.585654,-121.883694,N,R76.945,327.48,1,2026-03-27,d05_text_meta_2026_03_27.txt
