ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
601100	180	W	6	19	27000	60.63	36.173	36.735928	-119.750876	.145	ML	1	CHESTNUT LP 180 WB				
601101	41	S	6	39		0.98	135.982	36.890419	-119.793045	.957	ML	2	VALLEY CHILDREN BLVD DT 41 SB				
601102	41	S	6	39		1.13	136.132	36.892614	-119.792978	2.575	ML	2	VALLEY CHILDREN BLVD LP 41 SB				
601103	180	E	6	19	27000	54.59	31.09	36.735669	-119.844481	2.51	ML	2	MARKS AVE LP 180 EB				
601104	180	E	6	19	27000	54.61	31.11	36.735672	-119.844121	.705	ML	2	MARKS AVE DT 180 EB				
601205	41	S	6	19	27000	27.35	129.103	36.792351	-119.78483	.514	ML	3	ASHLAN AVE 41 SB				
601206	41	S	6	19	27000	28.37	130.123	36.80711	-119.785433	.244	ML	3	SHAW AVE DT 41 SB				
601207	41	S	6	19	27000	28.47	130.223	36.808562	-119.78544	.305	ML	3	SHAW AVE LP 41 SB				
601208	41	S	6	19	27000	29.29	131.043	36.820455	-119.785562	.494	ML	3	BULLARD AVE DT 41 SB				
601209	41	N	6	19	27000	22.68	124.433	36.728879	-119.78227	.94	ML	3	BROADWAY AVE 41 NB				
601210	41	N	6	19	27000	23.06	124.813	36.733172	-119.778015	.375	ML	3	M STREET 41 NB				
601211	41	N	6	19	27000	23.72	125.473	36.74273	-119.777254	.24	ML	3	TULARE AVE LP 41 NB				
601212	41	N	6	19	27000	23.91	125.663	36.745383	-119.776414	.245	ML	3	DIVISADERO 41 NB				
601213	41	N	6	19	27000	25.34	127.093	36.765707	-119.777389	.455	ML	3	MCKINLEY AVE DT 41 NB				
601214	41	N	6	19	27000	26.4	128.153	36.778576	-119.784665	.34	ML	3	SHIELDS AVE LP 41 NB				
601215	41	N	6	19	27000	26.56	128.313	36.780902	-119.784554	.275	ML	3	SHIELDS AVE DT 41 NB				
601216	41	S	6	19	27000	30.17	131.923	36.833192	-119.785242	.159	ML	3	HERNDON AVE DT 41 SB				
601217	41	S	6	19	27000	31.55	133.303	36.852701	-119.787844	.405	ML	2	FRIANT RD DT 41 SB				
601218	41	S	6	19	27000	30.29	132.043	36.834927	-119.785204	.285	ML	3	HERNDON AVE LP 41 SB				
601219	41	S	6	19	27000	31.551	133.304	36.852714	-119.787853	1.796	ML	2	FRIANT RD LP 41 SB				
601220	41	N	6	19	27000	21.09	122.843	36.706526	-119.784869	.5	ML	2	JENSEN AVE LOOP 41 NB				
601221	41	N	6	19	27000	21.18	122.933	36.707805	-119.78457	.795	ML	3	JENSEN AVE DIRECT 41 NB				
601222	41	N	6	19		20.18	121.933	36.693365	-119.785745	2.955	ML	2	NORTH AVE DT 41 NB				
601225	945	W	6	19	27000	2.75	2.75	36.790154	-119.748919	.945	ML	3	ASHLAN DT 168 WB				
601226	945	E	6	19	27000	1.84	1.84	36.776919	-119.749016	2.655	ML	3	SHIELDS AVE DT 168 EB				
601227	945	W	6	19	27000	1.76	1.76	36.775796	-119.74937	.605	ML	3	SHIELDS AVE 168 WB				
601228	945	W	6	19	27000	0.95	.95	36.764037	-119.749471	1.245	ML	4	MCKINLEY LP 168 WB				
601229	945	E	6	19	27000	0.98	.98	36.764462	-119.749122	1.255	ML	3	MCKINLEY DT 168 EB				
601230	945	W	6	19	27000	3.65	3.65	36.801154	-119.740476	.585	ML	3	SHAW AVE DT 168 WB				
601233	945	W	6	19	27000	5.665	5.665	36.823443	-119.716936	2.602	ML	3	BULLARD AVE LP 168 WB				
601235	945	W	6	19	27000	5.46	5.46	36.821251	-119.71947	.872	ML	3	BULLARD AVE LP 168 WB				
601236	945	W	6	19	27000	3.92	3.92	36.804295	-119.737499	.905	ML	3	SHAW AVE LP 168 WB				
601241	168	W	6	19		6.56	6.56	36.83315	-119.706174	2.501	ML	2	HERNDON AVE DT 168 WB				
601242	168	W	6	19		6.561	6.561	36.833163	-119.706166	2.5	ML	2	HERNDON AVE LP 168 WB				
601247	180	W	6	19	27000	60.62	36.163	36.735927	-119.751057	1.836	ML	2	CHESTNUT DT 180 WB				
601248	180	W	6	19	27000	62.88	38.423	36.73592	-119.710351	.99	ML	3	CLOVIS AVE DT 180 WB				
601249	180	W	6	19	27000	62.89	38.433	36.73592	-119.710179	2.505	ML	3	CLOVIS AVE LP 180 WB				
601251	180	W	6	19	27000	60.91	36.453	36.73594	-119.745824	1.125	ML	3	PEACH DT 180 WB				
601300	180	E	6	19	27000	56	32.5	36.735257	-119.819349	3.195	ML	3	HUGHES AVE 180 EB				
601307	99	S	6	29		24.11	24.932	35.361216	-119.039628	.359	ML	4	S OF PALM AVE 99 SB				
601309	5	N	6	29		33.52	238.637	35.209564	-119.163084	5	ML	2	JCT RTE 223 BEAR MTN BLVD 5 NB				
601337	5	N	6	19		60.15	379.016	36.778931	-120.724589	5	ML	2	SHIELDS AVE OC 5 NB				
601338	5	N	6	19		66.03	384.896	36.853519	-120.775905	2.704	ML	2	NEES AVE OC 5 NB				
601339	5	S	6	29		33.521	238.573	35.209404	-119.163358	5	ML	2	JCT RTE 223 BEAR MTN BLVD 5 SB				
601356	99	N	6	29		23.12	23.942	35.346864	-119.039409	.532	ML	4	N OF BELLE TERRACE 99 NB				
601358	99	N	6	29	3526	24.111	24.933	35.361245	-119.039407	.359	ML	4	S OF PALM AVE 99 NB				
601361	99	S	6	29		23.121	23.943	35.346868	-119.039622	.515	ML	4	N OF BELLE TERRACE 99 SB				
601379	99	N	6	29		53.45	54.31	35.732356	-119.23963	5	ML	3	N OF POND RD OC 99 NB				
601425	99	N	6	19	27000	21.01	133.35	36.734034	-119.802379	.29	ML	3	STANISLAUS ST 99 NB				
601427	99	N	6	19	27000	22.05	134.39	36.742274	-119.817718		FF	1	SB OFFRAMP EB 180 99 NB				
601432	99	N	6	19	27000	23.9	136.24	36.765263	-119.834417	.515	ML	3	MCKINLEY AVE OC 99 NB				
601436	99	N	6	19		26.96	139.3	36.797515	-119.871005	.899	ML	3	N OF ASHLAN AVE 99 NB				
601445	99	N	6	39		7.42	151.382	36.923198	-120.021242	5	ML	2	AVENUE 12 - 99 NB				
601523	41	S	6	19	27000	30.74	132.493	36.841433	-119.785144	.63	ML	3	ALLUVIAL AVE 41 SB				
601526	41	N	6	19	27000	23.43	125.183	36.738537	-119.777448	.33	ML	3	HUNTINGTON AVE 41 NB				
601528	41	N	6	19	27000	24.21	125.963	36.749726	-119.776015	.53	ML	5	BELMONT AVE 41 NB				
601529	41	S	6	19	27000	24.25	126.003	36.750333	-119.776297	.77	ML	3	BELMONT AVE 41 SB				
601530	41	N	6	19	27000	24.97	126.723	36.760762	-119.775389	.565	ML	3	FLORADORA AVE 41 NB				
601532	41	N	6	19	27000	25.88	127.633	36.771162	-119.784059	.53	ML	3	CLINTON AVE 41 NB				
601534	41	N	6	19	27000	26.95	128.703	36.786566	-119.784175	.71	ML	3	DAKOTA AVE 41 NB				
601536	41	N	6	19	27000	27.98	129.733	36.801451	-119.785181	1.015	ML	3	GETTYSBURG AVE 41 NB				
601538	41	N	6	19	27000	28.98	130.733	36.815966	-119.785232	.995	ML	3	BARSTOW AVE 41 NB				
601540	41	N	6	19	27000	29.97	131.723	36.830301	-119.784939	.88	ML	3	SIERRA AVE 41 NB				
601542	41	N	6	19	27000	30.741	132.494	36.841447	-119.784816	2.885	ML	3	ALLUVIAL AVE 41 NB				
601612	945	E	6	19	27000	1.53	1.53	36.772429	-119.749104	.43	ML	4	N OF CLINTON AVE 168 EB				
602100	180	W	6	19		60.631	36.174	36.735928	-119.750858		OR	2	CHESTNUT LP 180 WB				
602101	41	S	6	39		0.981	135.983	36.890433	-119.793045		OR	2	VALLEY CHILDREN BLVD DT 41 SB				
602102	41	S	6	39		1.131	136.133	36.892628	-119.792977		OR	2	VALLEY CHILDREN BLVD LP 41 SB				
602103	180	E	6	19	27000	54.6	31.1	36.735671	-119.844301		OR	2	MARKS AVE LP 180 EB				
602104	180	E	6	19		54.611	31.111	36.735672	-119.844103		OR	2	MARKS AVE DT 180 EB				
602205	41	S	6	19	27000	27.351	129.104	36.792366	-119.784833		OR	2	ASHLAN AVE 41 SB				
602206	41	S	6	19	27000	28.42	130.173	36.807836	-119.785438		OR	2	SHAW AVE DT 41 SB				
602207	41	S	6	19	27000	28.471	130.224	36.808576	-119.78544		OR	2	SHAW AVE LP 41 SB				
602208	41	S	6	19	27000	29.291	131.044	36.82047	-119.785561		OR	2	BULLARD AVE DT 41 SB				
602209	41	N	6	19	27000	22.681	124.434	36.72889	-119.782259		OR	1	BROADWAY AVE 41 NB				
602210	41	N	6	19	27000	23.061	124.814	36.733186	-119.77801		OR	1	M STREET 41 NB				
602211	41	N	6	19	27000	23.721	125.474	36.742744	-119.777251		OR	2	TULARE AVE LP 41 NB				
602212	41	N	6	19	27000	23.911	125.664	36.745397	-119.776411		OR	2	DIVISADERO 41 NB				
602213	41	N	6	19	27000	25.341	127.094	36.765719	-119.7774		OR	2	MCKINLEY AVE DT 41 NB				
602214	41	N	6	19	27000	26.401	128.154	36.778591	-119.784664		OR	2	SHIELDS AVE LP 41 NB				
602215	41	N	6	19	27000	26.561	128.314	36.780916	-119.784553		OR	2	SHIELDS AVE DT 41 NB				
602216	41	S	6	19	27000	30.171	131.924	36.833207	-119.785242		OR	2	HERNDON AVE DT 41 SB				
602217	41	S	6	19	27000	31.5505	133.303	36.852701	-119.787844		OR	1	FRIANT RD DT 41 SB				
602218	41	S	6	19	27000	30.291	132.044	36.834941	-119.785203		OR	2	HERNDON AVE LP 41 SB				
